step,phase,delta_oracle,delta_GLR-UCB,delta_D-UCB,delta_SW-UCB,switch_oracle,switch_GLR-UCB,switch_D-UCB,switch_SW-UCB
352,1,46450.6,47069.2,47069.2,86175.8,0,0,0,0
353,1,46450.6,47069.2,47069.2,86209.6,0,0,0,0
354,1,46450.6,47069.2,47069.2,86245.0,0,0,0,0
355,1,46450.6,47069.2,47069.2,86277.6,0,0,0,0
356,1,46450.6,47069.2,47069.2,86306.3,0,0,0,0
357,1,46450.6,47069.2,47069.2,86338.9,0,0,0,0
358,1,46450.6,47069.2,47069.2,86374.9,0,0,0,0
359,1,46450.6,47069.2,47069.2,86412.9,0,0,0,0
360,1,46450.6,47069.2,47069.2,86447.3,0,0,0,0
361,1,46450.6,47069.2,47069.2,86480.4,0,0,0,0
362,1,46450.6,47069.2,47069.2,86516.5,0,0,0,0
363,1,46450.6,47069.2,47069.2,86552.6,0,0,0,0
364,1,46450.6,47069.2,47069.2,86580.6,0,0,0,0
365,1,46450.6,47069.2,47069.2,86609.5,0,0,0,0
366,1,46450.6,47069.2,47069.2,86643.0,0,0,0,0
367,1,46450.6,47069.2,47069.2,86676.5,0,0,0,0
368,1,46450.6,47069.2,47069.2,86711.2,0,0,0,0
369,1,46450.6,47069.2,47069.2,86742.0,0,0,0,0
370,1,46450.6,47069.2,47069.2,86772.6,0,0,0,0
371,1,46450.6,47069.2,47069.2,86803.5,0,0,0,0
372,1,46450.6,47069.2,47069.2,86839.8,0,0,0,0
373,1,46450.6,47069.2,47069.2,86873.1,0,0,0,0
374,1,46450.6,47069.2,47069.2,86912.0,0,0,0,0
375,1,46450.6,47069.2,47069.2,86948.4,0,0,0,0
376,1,46450.6,47069.2,47069.2,86979.4,0,0,0,0
377,1,46450.6,47069.2,47069.2,87014.6,0,0,0,0
378,1,46450.6,47069.2,47069.2,87051.1,0,0,0,0
379,1,46450.6,47069.2,47069.2,87088.3,0,0,0,0
380,1,46450.6,47069.2,47069.2,87122.4,0,0,0,0
381,1,46450.6,47069.2,47069.2,87151.9,0,0,0,0
382,1,46450.6,47069.2,47069.2,87182.5,0,0,0,0
383,1,46450.6,47069.2,47069.2,87215.6,0,0,0,0
384,1,46450.6,47069.2,47069.2,87251.8,0,0,0,0
385,1,46450.6,47069.2,47069.2,87283.1,0,0,0,0
386,1,46450.6,47069.2,47069.2,87309.5,0,0,0,0
387,1,46450.6,47069.2,47069.2,87344.5,0,0,0,0
388,1,46450.6,47069.2,47069.2,87382.8,0,0,0,0
389,1,46450.6,47069.2,47069.2,87414.2,0,0,0,0
390,1,46450.6,47069.2,47069.2,87444.7,0,0,0,0
391,1,46450.6,47069.2,47069.2,87477.0,0,0,0,0
392,1,46450.6,47069.2,47069.2,87510.6,0,0,0,0
393,1,46450.6,47069.2,47069.2,87545.4,0,0,0,0
394,1,46450.6,47069.2,47069.2,87577.6,0,0,0,0
395,1,46450.6,47069.2,47069.2,87611.8,0,0,0,0
396,1,46450.6,47069.2,47069.2,87645.2,0,0,0,0
397,1,46450.6,47069.2,47069.2,87678.5,0,0,0,0
398,1,46450.6,47069.2,47069.2,87705.9,0,0,0,0
399,1,46450.6,47069.2,47069.2,87741.5,0,0,0,0
400,1,46450.6,47069.2,47069.2,87775.1,0,0,0,0
401,1,46450.6,47069.2,47069.2,87806.0,0,0,0,0
402,1,46450.6,47069.2,47069.2,87838.8,0,0,0,0
403,1,46450.6,47069.2,47069.2,87869.3,0,0,0,0
404,1,46450.6,47069.2,47069.2,87899.8,0,0,0,0
405,1,46450.6,47069.2,47069.2,87927.5,0,0,0,0
406,1,46450.6,47069.2,47069.2,87957.6,0,0,0,0
407,1,46450.6,47069.2,47069.2,87994.7,0,0,0,0
408,1,46450.6,47069.2,47069.2,88031.9,0,0,0,0
409,1,46450.6,47069.2,47069.2,88067.0,0,0,0,0
410,1,46450.6,47069.2,47069.2,88097.1,0,0,0,0
411,1,46450.6,47069.2,47069.2,88133.0,0,0,0,0
412,1,46450.6,47069.2,47069.2,88163.5,0,0,0,0
413,1,46450.6,47069.2,47069.2,88198.1,0,0,0,0
414,1,46450.6,47069.2,47069.2,88235.0,0,0,0,0
415,1,46450.6,47069.2,47069.2,88266.0,0,0,0,0
416,1,46450.6,47069.2,47069.2,88298.3,0,0,0,0
417,1,46450.6,47069.2,47069.2,88331.8,0,0,0,0
418,1,46450.6,47069.2,47069.2,88370.6,0,0,0,0
419,1,46450.6,47069.2,47069.2,88399.1,0,0,0,0
420,1,46450.6,47069.2,47069.2,88436.1,0,0,0,0
421,1,46450.6,47069.2,47069.2,88470.9,0,0,0,0
422,1,46450.6,47069.2,47069.2,88508.0,0,0,0,0
423,1,46450.6,47069.2,47069.2,88544.0,0,0,0,0
424,1,46450.6,47069.2,47069.2,88576.3,0,0,0,0
425,1,46450.6,47069.2,47069.2,88614.0,0,0,0,0
426,1,46450.6,47069.2,47069.2,88644.0,0,0,0,0
