hw,backend,bucket,cost_ratio
Tesla_T4,inductor_maxautotune,T8/224,2.2865
Tesla_T4,inductor_maxautotune,T32/224,3.1987
Tesla_T4,inductor_maxautotune,T1/384,2.5960
Tesla_T4,inductor_maxautotune,T8/384,3.5424
Tesla_T4,inductor_maxautotune,T32/384,2.2784
Tesla_T4,inductor_maxautotune,S1/224,2.1194
Tesla_T4,inductor_maxautotune,S8/224,4.9660
Tesla_T4,inductor_maxautotune,S32/224,3.0078
Tesla_T4,inductor_maxautotune,S1/384,3.4677
Tesla_T4,inductor_maxautotune,S8/384,3.2530
Tesla_T4,inductor_maxautotune,S32/384,3.4463
Tesla_T4,inductor_maxautotune,D1/224,2.0999
Tesla_T4,inductor_maxautotune,D8/224,4.9579
Tesla_T4,inductor_maxautotune,D32/224,3.0286
Tesla_T4,inductor_maxautotune,D1/384,3.4737
Tesla_T4,inductor_maxautotune,D8/384,3.3107
Tesla_T4,inductor_maxautotune,D32/384,3.4685
Tesla_T4,inductor_maxautotune,B1/224,3.3668
Tesla_T4,inductor_maxautotune,B8/224,3.9827
Tesla_T4,inductor_maxautotune,B32/224,4.5092
Tesla_T4,inductor_maxautotune,B1/384,5.2561
Tesla_T4,inductor_maxautotune,B8/384,4.5183
Tesla_T4,inductor_maxautotune,B32/384,4.0699
Tesla_T4,ort_cuda_fp32,T1/224,2.2433
Tesla_T4,ort_cuda_fp32,T8/224,2.9838
Tesla_T4,ort_cuda_fp32,T32/224,3.8060
Tesla_T4,ort_cuda_fp32,T1/384,2.9142
Tesla_T4,ort_cuda_fp32,T8/384,4.3884
Tesla_T4,ort_cuda_fp32,T32/384,3.3171
Tesla_T4,ort_cuda_fp32,S1/224,2.3733
Tesla_T4,ort_cuda_fp32,S8/224,5.3642
Tesla_T4,ort_cuda_fp32,S32/224,3.3044
Tesla_T4,ort_cuda_fp32,S1/384,3.9519
Tesla_T4,ort_cuda_fp32,S8/384,3.8098
Tesla_T4,ort_cuda_fp32,S32/384,4.2293
Tesla_T4,ort_cuda_fp32,D1/224,2.3356
Tesla_T4,ort_cuda_fp32,D8/224,5.3751
Tesla_T4,ort_cuda_fp32,D32/224,3.3181
Tesla_T4,ort_cuda_fp32,D1/384,3.9720
Tesla_T4,ort_cuda_fp32,D8/384,3.9356
Tesla_T4,ort_cuda_fp32,D32/384,4.2360
Tesla_T4,ort_cuda_fp32,B1/224,3.4053
Tesla_T4,ort_cuda_fp32,B8/224,4.1533
Tesla_T4,ort_cuda_fp32,B32/224,4.7473
Tesla_T4,ort_cuda_fp32,B1/384,5.3407
Tesla_T4,ort_cuda_fp32,B8/384,4.7062
Tesla_T4,ort_cuda_fp32,B32/384,4.8262
Tesla_T4,ort_cuda_fp16,T1/224,1.9434
Tesla_T4,ort_cuda_fp16,T8/224,1.4247
Tesla_T4,ort_cuda_fp16,T32/224,2.2379
Tesla_T4,ort_cuda_fp16,T1/384,1.6293
Tesla_T4,ort_cuda_fp16,T8/384,2.5322
Tesla_T4,ort_cuda_fp16,T32/384,1.6143
Tesla_T4,ort_cuda_fp16,S1/224,1.4597
Tesla_T4,ort_cuda_fp16,S8/224,1.4701
Tesla_T4,ort_cuda_fp16,S32/224,1.3458
Tesla_T4,ort_cuda_fp16,S1/384,1.6944
Tesla_T4,ort_cuda_fp16,S8/384,1.6509
Tesla_T4,ort_cuda_fp16,S32/384,1.8590
Tesla_T4,ort_cuda_fp16,D1/224,1.4394
Tesla_T4,ort_cuda_fp16,D8/224,1.4525
Tesla_T4,ort_cuda_fp16,D32/224,1.3482
Tesla_T4,ort_cuda_fp16,D1/384,1.6863
Tesla_T4,ort_cuda_fp16,D8/384,1.7072
Tesla_T4,ort_cuda_fp16,D32/384,1.7425
Tesla_T4,ort_cuda_fp16,B1/224,1.0000
Tesla_T4,ort_cuda_fp16,B8/224,1.3234
Tesla_T4,ort_cuda_fp16,B32/224,1.3352
Tesla_T4,ort_cuda_fp16,B1/384,1.6402
Tesla_T4,ort_cuda_fp16,B8/384,1.4970
Tesla_T4,ort_cuda_fp16,B32/384,1.5391
Tesla_T4,ort_trt,T1/224,1.0000
Tesla_T4,ort_trt,T8/224,1.0000
Tesla_T4,ort_trt,T32/224,1.0000
Tesla_T4,ort_trt,T1/384,1.0000
Tesla_T4,ort_trt,T8/384,1.0000
Tesla_T4,ort_trt,T32/384,1.0000
Tesla_T4,ort_trt,S1/224,1.0000
Tesla_T4,ort_trt,S8/224,1.0000
Tesla_T4,ort_trt,S32/224,1.0000
Tesla_T4,ort_trt,S1/384,1.0000
Tesla_T4,ort_trt,S8/384,1.0000
Tesla_T4,ort_trt,S32/384,1.0000
Tesla_T4,ort_trt,D1/224,1.0000
Tesla_T4,ort_trt,D8/224,1.0000
Tesla_T4,ort_trt,D32/224,1.0000
Tesla_T4,ort_trt,D1/384,1.0000
Tesla_T4,ort_trt,D8/384,1.0000
Tesla_T4,ort_trt,D32/384,1.0000
Tesla_T4,ort_trt,B1/224,1.1102
Tesla_T4,ort_trt,B8/224,1.0000
Tesla_T4,ort_trt,B32/224,1.0000
Tesla_T4,ort_trt,B1/384,1.0000
Tesla_T4,ort_trt,B8/384,1.0000
Tesla_T4,ort_trt,B32/384,1.0000
